epoch,acc,loss,dset,auc,auprc,tn,fp,fn,tp
0,0.8593519882179675,0.4925999152192925,train,0.4512564529203464,0.0988654786976191,1167,35,156,0
0,1.0,0.334132969379425,val,,,1,0,0,0
1,0.8851251840942562,0.3590235642852901,train,0.6146859934297538,0.1703127996387679,1202,0,156,0
1,1.0,0.2260122746229171,val,,,1,0,0,0
2,0.8851251840942562,0.3374966843045469,train,0.684254874354708,0.229807680090315,1202,0,156,0
2,1.0,0.4653064608573913,val,,,1,0,0,0
3,0.8829160530191458,0.313748507161072,train,0.772931865693929,0.3164845143147202,1193,9,150,6
3,1.0,0.0969992727041244,val,,,1,0,0,0
4,0.8652430044182622,0.3046783365820849,train,0.7921146379965017,0.309296023272065,1128,74,109,47
4,1.0,0.0723820254206657,val,,,1,0,0,0
5,0.8696612665684831,0.3011216763571585,train,0.7956930756431589,0.3515902678003433,1111,91,86,70
5,1.0,0.0497733950614929,val,,,1,0,0,0
6,0.8600883652430045,0.2817345373037604,train,0.846159179145868,0.3519337993741412,1101,101,89,67
6,1.0,0.028792068362236,val,,,1,0,0,0
7,0.8512518409425626,0.2861078842126439,train,0.8397862536797644,0.3251098013970386,1097,105,97,59
7,1.0,0.0314319618046283,val,,,1,0,0,0
8,0.8814432989690721,0.2530717424278879,train,0.8789144161440334,0.4548920858855729,1118,84,77,79
8,1.0,0.017397066578269,val,,,1,0,0,0
9,0.8807069219440353,0.2679421490689929,train,0.8621741541874652,0.4243929904813119,1109,93,69,87
9,1.0,0.0419797711074352,val,,,1,0,0,0
10,0.8991163475699558,0.220099607068498,train,0.91170165109433,0.6068510655581627,1127,75,62,94
10,1.0,0.0081907324492931,val,,,1,0,0,0
11,0.9005891016200295,0.2342581477349511,train,0.8972865736592859,0.5417656272391592,1123,79,56,100
11,1.0,0.0092692980542778,val,,,1,0,0,0
12,0.8998527245949927,0.2227261114686546,train,0.9117336490464608,0.554327322399487,1122,80,56,100
12,1.0,0.0083298869431018,val,,,1,0,0,0
13,0.8961708394698086,0.221645165359792,train,0.9184958829301592,0.5590149425931036,1109,93,48,108
13,1.0,0.0055019613355398,val,,,1,0,0,0
14,0.9293078055964654,0.1589863650459283,train,0.95878663765519,0.753988111710878,1137,65,31,125
14,1.0,0.0034859147854149,val,,,1,0,0,0
15,0.9013254786450664,0.2291197770854937,train,0.9104164000170656,0.5799208045121163,1120,82,52,104
15,1.0,0.0089267222210764,val,,,1,0,0,0
16,0.922680412371134,0.1770423764399107,train,0.9539176159392466,0.6068485850019317,1132,70,35,121
16,1.0,0.0048392554745078,val,,,1,0,0,0
17,0.9116347569955816,0.1765499231645587,train,0.9524457101412176,0.6862005041475515,1120,82,38,118
17,1.0,0.0015285247936844,val,,,1,0,0,0
18,0.9131075110456554,0.1957765266328651,train,0.939518537480268,0.6395036419335941,1118,84,34,122
18,1.0,0.0020678106229752,val,,,1,0,0,0
19,0.9256259204712812,0.1519133981472402,train,0.9643169503818422,0.6808221580454997,1126,76,25,131
19,1.0,0.0024813597556203,val,,,1,0,0,0
20,0.9256259204712812,0.1664443818595514,train,0.9560668117240496,0.6453638331909568,1127,75,26,130
20,1.0,0.0009114163694903,val,,,1,0,0,0
21,0.959499263622975,0.1047501818416503,train,0.9825131191603738,0.9035507301186988,1166,36,19,137
21,1.0,0.0016032711137086,val,,,1,0,0,0
22,0.9462444771723122,0.1276196646135055,train,0.9765881650241052,0.8425054560435697,1153,49,24,132
22,1.0,0.0009746568393893,val,,,1,0,0,0
23,0.9602356406480118,0.1023484255928611,train,0.984145014719058,0.8895900366965427,1165,37,17,139
23,1.0,0.0010982679668813,val,,,1,0,0,0
24,0.9646539027982328,0.0857263289393966,train,0.989542002645164,0.9169046068282326,1164,38,10,146
24,1.0,0.001625289209187,val,,,1,0,0,0
25,0.9381443298969072,0.1407306866319401,train,0.9728444046247706,0.8086497179747363,1146,56,28,128
25,1.0,0.0011566146276891,val,,,1,0,0,0
26,0.9543446244477172,0.1327779487823865,train,0.965415546738342,0.8252941685330015,1165,37,25,131
26,1.0,0.0013083001831546,val,,,1,0,0,0
27,0.9779086892488954,0.058355151593002,train,0.9951789752122532,0.9707220833553576,1185,17,13,143
27,1.0,0.0010869554243981,val,,,1,0,0,0
28,0.9852724594992636,0.0410197188167908,train,0.9978508042151968,0.9827206460187056,1188,14,6,150
28,1.0,0.0003684080438688,val,,,1,0,0,0
29,0.996318114874816,0.0096141688116562,train,0.9999573360638252,0.999678479277536,1199,3,2,154
29,1.0,0.000257339735981,val,,,1,0,0,0
30,0.9447717231222386,0.1417924432354407,train,0.9717991381884892,0.8199666050413689,1165,37,38,118
30,1.0,0.0006640136707574,val,,,1,0,0,0
31,0.9977908689248896,0.0124563998263742,train,0.9997813473271044,0.9982056994687596,1199,3,0,156
31,1.0,0.0003219324571546,val,,,1,0,0,0
32,0.9985272459499264,0.0048817315939971,train,1.0,1.0,1200,2,0,156
32,1.0,0.0002543602604418,val,,,1,0,0,0
33,1.0,0.0016981539874891,train,1.0,1.0,1202,0,0,156
33,1.0,0.0002379134384682,val,,,1,0,0,0
34,1.0,0.0010893152545961,train,1.0,1.0,1202,0,0,156
34,1.0,0.000184399774298,val,,,1,0,0,0
35,1.0,0.0008987954243018,train,1.0,1.0,1202,0,0,156
35,1.0,0.0001705739414319,val,,,1,0,0,0
36,1.0,0.0007101605422868,train,1.0,1.0,1202,0,0,156
36,1.0,0.0001561519748065,val,,,1,0,0,0
37,1.0,0.0006165681020099,train,1.0,1.0,1202,0,0,156
37,1.0,0.0001406570663675,val,,,1,0,0,0
38,1.0,0.0005418003244742,train,1.0,1.0,1202,0,0,156
38,1.0,0.0001355317799607,val,,,1,0,0,0
39,1.0,0.0004935997833416,train,1.0,1.0,1202,0,0,156
39,1.0,0.0001245659514097,val,,,1,0,0,0
40,1.0,0.0004547728432474,train,1.0,1.0,1202,0,0,156
40,1.0,0.000117295065138,val,,,1,0,0,0
41,1.0,0.0004212611234426,train,1.0,1.0,1202,0,0,156
41,1.0,0.0001097857311833,val,,,1,0,0,0
42,1.0,0.0003757424544007,train,1.0,1.0,1202,0,0,156
42,1.0,0.0001090705482056,val,,,1,0,0,0
43,1.0,0.000370370105107,train,1.0,1.0,1202,0,0,156
43,1.0,0.0001039450944517,val,,,1,0,0,0
44,1.0,0.0003432868948755,train,1.0,1.0,1202,0,0,156
44,1.0,9.929640509653836e-05,val,,,1,0,0,0
45,1.0,0.0003311100788748,train,1.0,1.0,1202,0,0,156
45,1.0,9.48860906646587e-05,val,,,1,0,0,0
46,1.0,0.0003223723530798,train,1.0,1.0,1202,0,0,156
46,1.0,9.929640509653836e-05,val,,,1,0,0,0
47,1.0,0.0002975436398679,train,1.0,1.0,1202,0,0,156
47,1.0,9.119095193454996e-05,val,,,1,0,0,0
48,1.0,0.0002837178605039,train,1.0,1.0,1202,0,0,156
48,1.0,8.821098163025454e-05,val,,,1,0,0,0
49,1.0,0.0002776118387302,train,1.0,1.0,1202,0,0,156
49,1.0,8.797258487902582e-05,val,,,1,0,0,0
50,1.0,0.0002644846666932,train,1.0,1.0,1202,0,0,156
50,1.0,8.463501580990851e-05,val,,,1,0,0,0
51,1.0,0.0002603709864336,train,1.0,1.0,1202,0,0,156
51,1.0,8.320462075062096e-05,val,,,1,0,0,0
52,1.0,0.0002481578198625,train,1.0,1.0,1202,0,0,156
52,1.0,8.225102646974847e-05,val,,,1,0,0,0
53,1.0,0.0002406430098537,train,1.0,1.0,1202,0,0,156
53,1.0,8.296622399939224e-05,val,,,1,0,0,0
54,1.0,0.0002444766060174,train,1.0,1.0,1202,0,0,156
54,1.0,7.593343616463244e-05,val,,,1,0,0,0
55,1.0,0.000223073465486,train,1.0,1.0,1202,0,0,156
55,1.0,7.83174327807501e-05,val,,,1,0,0,0
56,1.0,0.0002237098122387,train,1.0,1.0,1202,0,0,156
56,1.0,7.426462980220094e-05,val,,,1,0,0,0
57,1.0,0.0002230069541304,train,1.0,1.0,1202,0,0,156
57,1.0,7.30726242181845e-05,val,,,1,0,0,0
58,1.0,0.0002153320386366,train,1.0,1.0,1202,0,0,156
