epoch,acc,loss,dset,auc,auprc,tn,fp,fn,tp
1,0.8299632352941176,0.4116011323297725,train,0.606455930401921,0.1483714136737837,899,56,129,4
1,0.915129151291513,0.2962813246514084,val,0.5950210378681627,0.1527329441817779,248,0,23,0
1,0.8888888888888888,0.2602069833212428,test,0.921682098765432,0.5243113388535404,144,0,18,0
2,0.8777573529411765,0.3160095810890198,train,0.77483761760422,0.4130470949982264,955,0,133,0
2,0.915129151291513,0.2892324162915184,val,0.6399018232819075,0.1755932695144162,248,0,23,0
2,0.8888888888888888,0.2323453083266446,test,0.9243827160493828,0.5231910408176546,144,0,18,0
3,0.8814338235294118,0.3054129297242445,train,0.7991182143841279,0.4774171633040743,955,0,129,4
3,0.915129151291513,0.276631659412296,val,0.7144109396914446,0.2168677651227205,248,0,23,0
3,0.8827160493827161,0.2408189320085961,test,0.929398148148148,0.5225387027395672,143,1,18,0
4,0.8832720588235294,0.2874869636314757,train,0.8345628469078455,0.4850117304996187,953,2,125,8
4,0.9077490774907748,0.2614268612157814,val,0.7640252454417953,0.242435949457882,245,3,22,1
4,0.8950617283950617,0.2273622767792807,test,0.9344135802469136,0.517105137424512,142,2,15,3
5,0.8933823529411765,0.2611251357285415,train,0.874786442546156,0.5557955161993214,952,3,113,20
5,0.9077490774907748,0.2485828311680867,val,0.7857643758765779,0.2915663039300757,244,4,21,2
5,0.9074074074074074,0.2032742340715579,test,0.9367283950617284,0.5217634713881935,140,4,11,7
6,0.8961397058823529,0.2472393549978733,train,0.8887060583395662,0.583023078870409,944,11,102,31
6,0.8966789667896679,0.2435369262836076,val,0.8155680224403928,0.31607502623784,240,8,20,3
6,0.9012345679012346,0.1931139313052466,test,0.935570987654321,0.5010216286855909,137,7,9,9
7,0.8979779411764706,0.2330065761857173,train,0.906365389914577,0.602340284236278,934,21,90,43
7,0.9077490774907748,0.2239607116997901,val,0.8650070126227208,0.3598667577788356,245,3,22,1
7,0.8827160493827161,0.2058348720088417,test,0.9301697530864196,0.4790240307440126,139,5,14,4
8,0.9090073529411764,0.2057182216907248,train,0.9361335275361178,0.6854351003952902,939,16,83,50
8,0.8966789667896679,0.2375432891269451,val,0.8362552594670407,0.337466168996655,239,9,19,4
8,0.8950617283950617,0.1871143380800883,test,0.9417438271604938,0.5414227311215092,135,9,8,10
9,0.9181985294117648,0.1776159117546151,train,0.9588867456599612,0.7487136105905607,937,18,71,62
9,0.8892988929889298,0.2278708872759914,val,0.8669354838709677,0.3542485064561956,237,11,19,4
9,0.8950617283950617,0.1977394508818785,test,0.9328703703703703,0.5066935251423033,134,10,7,11
10,0.9411764705882352,0.1449063573690021,train,0.9783883793252766,0.8202184692414348,940,15,49,84
10,0.8966789667896679,0.2133225645196393,val,0.8942847124824685,0.3781295277748911,238,10,18,5
10,0.9074074074074074,0.200329390204983,test,0.9355709876543208,0.5431006482132843,134,10,5,13
11,0.9393382352941176,0.1412130987600368,train,0.9733023658622996,0.8415665867537665,933,22,44,89
11,0.904059040590406,0.2317148045090291,val,0.876577840112202,0.3508805926069434,240,8,18,5
11,0.9012345679012346,0.1902059723197678,test,0.9402006172839508,0.5446004726267883,134,10,6,12
12,0.9659926470588236,0.0942783485002377,train,0.993748769830335,0.9511435109284812,944,11,26,107
12,0.911439114391144,0.2276432212868299,val,0.8629032258064516,0.3485880726035522,244,4,20,3
12,0.9135802469135802,0.1872167607458929,test,0.9479166666666666,0.6047153241979829,140,4,10,8
13,0.984375,0.0650921965784886,train,0.9975514702987835,0.9787029732519336,950,5,12,121
13,0.8560885608856088,0.3216991354178679,val,0.8872720897615709,0.370643771519191,217,31,8,15
13,0.8395061728395061,0.3456908741299017,test,0.929783950617284,0.528424543756595,121,23,3,15
