epoch,acc,loss,dset,auc,auprc,tn,fp,fn,tp
1,0.8055555555555556,0.8689092733359814,train,0.5322048611111112,0.197182638928074,230,10,46,2
1,0.8194444444444444,0.5852990585068861,val,0.4667535853976532,0.3052936479670765,59,0,13,0
1,0.8888888888888888,0.5722688690379814,test,0.6570216049382717,0.2339412575499679,144,0,18,0
2,0.8298611111111112,0.4792464021237619,train,0.6039930555555556,0.2375877494013655,239,1,48,0
2,0.8194444444444444,0.5667974402507147,val,0.907431551499348,0.6274878377358134,59,0,13,0
2,0.8888888888888888,0.5540665570232604,test,0.790895061728395,0.2445913902507529,144,0,18,0
3,0.8368055555555556,0.4752823036557143,train,0.63125,0.2739239017523198,239,1,46,2
3,0.8194444444444444,0.5080894575350814,val,0.8565840938722296,0.6179098608126741,59,0,13,0
3,0.8888888888888888,0.4906869039491371,test,0.7214506172839505,0.3272629603977834,144,0,18,0
4,0.8402777777777778,0.4853974136257462,train,0.679861111111111,0.3608250414483941,240,0,46,2
4,0.8194444444444444,0.4854592945840623,val,0.6297262059973925,0.4027536510419827,59,0,13,0
4,0.8888888888888888,0.440744893602383,test,0.6215277777777778,0.2792682716619381,144,0,18,0
5,0.8333333333333334,0.4699208035421583,train,0.5953124999999999,0.2402820150265707,240,0,48,0
5,0.8194444444444444,0.4961424536175198,val,0.7548891786179922,0.4226750127162215,59,0,13,0
5,0.8888888888888888,0.4776840840960726,test,0.4660493827160493,0.1605358211471156,144,0,18,0
6,0.8333333333333334,0.4334433199263812,train,0.6977430555555556,0.2883123216233363,240,0,48,0
6,0.8194444444444444,0.4834157454056872,val,0.7314211212516297,0.4704793058388682,59,0,13,0
6,0.8888888888888888,0.5269086682870064,test,0.3684413580246913,0.1137578722861457,144,0,18,0
7,0.8333333333333334,0.4169541120859574,train,0.7284288194444444,0.3706899972899403,240,0,48,0
7,0.8194444444444444,0.4264665550241868,val,0.7627118644067797,0.4907515642071694,59,0,13,0
7,0.8888888888888888,0.4030739864633407,test,0.5979938271604939,0.2145619587544782,144,0,18,0
8,0.8333333333333334,0.4468015738647308,train,0.6754340277777777,0.356368243245736,240,0,48,0
8,0.8194444444444444,0.5411661486658785,val,0.7783572359843547,0.5713243928414207,59,0,13,0
8,0.8888888888888888,0.5465764024375398,test,0.5439814814814815,0.2386504115824537,144,0,18,0
9,0.8333333333333334,0.45682405019276,train,0.6340277777777779,0.3259864059757802,240,0,48,0
9,0.8194444444444444,0.4158873774318231,val,0.7940026075619296,0.5901013020252848,59,0,13,0
9,0.8888888888888888,0.394640731682748,test,0.6033950617283951,0.2639331936851236,144,0,18,0
10,0.8263888888888888,0.5865584721793824,train,0.6130208333333332,0.2625097042556697,238,2,48,0
10,0.8194444444444444,0.6294463823239008,val,0.5814863102998695,0.3000896499027439,59,0,13,0
10,0.8888888888888888,0.6222090459900138,test,0.3688271604938272,0.104387955925428,144,0,18,0
11,0.8229166666666666,0.5103510489590045,train,0.6393229166666667,0.2616392592152352,237,3,48,0
11,0.8194444444444444,0.4876956849152015,val,0.6375488917861799,0.3929179981199296,59,0,13,0
11,0.8888888888888888,0.5443476860779395,test,0.3395061728395061,0.0838994602149552,144,0,18,0
12,0.8298611111111112,0.4866706438399381,train,0.6651909722222222,0.2575536905420311,239,1,48,0
12,0.8194444444444444,0.4797722713814841,val,0.6179921773142112,0.2811954924877613,59,0,13,0
12,0.8888888888888888,0.4366456267458421,test,0.3804012345679012,0.0910450783499956,144,0,18,0
13,0.8263888888888888,0.5411152929571796,train,0.6142361111111112,0.2402788939504826,238,2,48,0
13,0.8194444444444444,0.4405068394003643,val,0.7614080834419819,0.4381574004648105,59,0,13,0
13,0.8888888888888888,0.3693580662394747,test,0.5208333333333333,0.169072075694988,144,0,18,0
