epoch,acc,loss,dset,auc,auprc,tn,fp,fn,tp,lr,batch_size,adam,momentum,weight_decay,train/test_split,patience,num_epochs,stop_epoch,dir
17,0.8472222222222222,0.3786057352221582,val,0.9009126466753584,0.6945487148928444,56,3,8,5,0.0001,1,False,0.9,0.0005,0.7,20,28,100,C:/Users/Stanley Hua/projects/temporal_hydronephrosis//results/conv_pooling_grid_search(2021-11-23)\Siamese_ConvPooling_2021-11-23_01-10-59
12,0.8194444444444444,0.4283170904964208,val,0.8696219035202086,0.7416308932613278,59,0,13,0,0.001,1,False,0.9,0.0005,0.7,20,100,100,C:/Users/Stanley Hua/projects/temporal_hydronephrosis//results/conv_pooling_grid_search(2021-11-23)\Siamese_ConvPooling_2021-11-23_01-23-57
26,0.8194444444444444,0.4157776867763864,val,0.8617992177314211,0.7039272693118845,59,0,13,0,0.001,1,True,0.85,0.0005,0.7,20,53,100,C:/Users/Stanley Hua/projects/temporal_hydronephrosis//results/conv_pooling_grid_search(2021-11-23)\Siamese_ConvPooling_2021-11-23_01-29-06
22,0.8194444444444444,0.3950449201381869,val,0.878748370273794,0.7551855237763557,59,0,13,0,0.001,1,True,0.9,0.0005,0.7,20,37,100,C:/Users/Stanley Hua/projects/temporal_hydronephrosis//results/conv_pooling_grid_search(2021-11-23)\Siamese_ConvPooling_2021-11-23_01-47-12
10,0.8194444444444444,0.5239058662619855,val,0.8591916558018253,0.7632144738646285,59,0,13,0,0.001,1,True,0.95,0.0005,0.7,20,26,100,C:/Users/Stanley Hua/projects/temporal_hydronephrosis//results/conv_pooling_grid_search(2021-11-23)\Siamese_ConvPooling_2021-11-23_01-59-52
34,0.8611111111111112,0.2934884759985531,val,0.9348109517601044,0.7886861253377089,59,0,10,3,0.001,1,True,0.85,0.0005,0.7,20,65,100,C:/Users/Stanley Hua/projects/temporal_hydronephrosis//results/conv_pooling_grid_search(2021-11-23)\Siamese_ConvPooling_2021-11-23_02-08-50
27,0.8194444444444444,0.2745529309241747,val,0.940026075619296,0.7661224396518513,59,0,13,0,0.001,1,True,0.9,0.0005,0.7,20,66,100,C:/Users/Stanley Hua/projects/temporal_hydronephrosis//results/conv_pooling_grid_search(2021-11-23)\Siamese_ConvPooling_2021-11-23_02-31-06
23,0.8194444444444444,0.4115617760301878,val,0.8670143415906127,0.7156150060342898,59,0,13,0,0.001,1,True,0.95,0.0005,0.7,20,26,100,C:/Users/Stanley Hua/projects/temporal_hydronephrosis//results/conv_pooling_grid_search(2021-11-23)\Siamese_ConvPooling_2021-11-23_02-53-41
6,0.8194444444444444,0.4394973533021079,val,0.9035202086049544,0.7389054769327721,59,0,13,0,0.001,1,True,0.85,0.0005,0.7,20,54,100,C:/Users/Stanley Hua/projects/temporal_hydronephrosis//results/conv_pooling_grid_search(2021-11-23)\Siamese_ConvPooling_2021-11-23_03-02-37
31,0.8194444444444444,0.3077514048588152,val,0.9295958279009128,0.7740084376200527,59,0,13,0,0.001,1,True,0.9,0.0005,0.7,20,67,100,C:/Users/Stanley Hua/projects/temporal_hydronephrosis//results/conv_pooling_grid_search(2021-11-23)\Siamese_ConvPooling_2021-11-23_03-21-01
8,0.8194444444444444,0.4305029365544517,val,0.8813559322033898,0.685464629932715,59,0,13,0,0.001,1,True,0.95,0.0005,0.7,20,54,100,C:/Users/Stanley Hua/projects/temporal_hydronephrosis//results/conv_pooling_grid_search(2021-11-23)\Siamese_ConvPooling_2021-11-23_03-43-54
46,0.8333333333333334,0.3408072699352892,val,0.9048239895697524,0.7678090466956013,59,0,12,1,0.001,1,True,0.85,0.0005,0.7,20,87,100,C:/Users/Stanley Hua/projects/temporal_hydronephrosis//results/conv_pooling_grid_search(2021-11-23)\Siamese_ConvPooling_2021-11-23_08-06-09
3,0.8194444444444444,0.5011926645206081,val,0.8383311603650587,0.5181823162592393,59,0,13,0,0.001,1,True,0.85,0.0005,0.7,20,100,100,C:/Users/Stanley Hua/projects/temporal_hydronephrosis//results/conv_pooling_grid_search(2021-11-23)\Siamese_ConvPooling_2021-11-23_08-36-09
23,0.8333333333333334,0.4703649949967964,val,0.9295958279009128,0.7409393564370939,59,0,12,1,1e-05,1,True,0.85,0.0005,0.7,20,44,100,C:/Users/Stanley Hua/projects/temporal_hydronephrosis//results/conv_pooling_grid_search(2021-11-23)\Siamese_ConvPooling_2021-11-23_09-42-37
8,0.8611111111111112,0.3413620529592865,val,0.8865710560625816,0.7198070789297109,57,2,8,5,0.0001,1,True,0.85,0.0005,0.7,20,33,100,C:/Users/Stanley Hua/projects/temporal_hydronephrosis//results/conv_pooling_grid_search(2021-11-23)\Siamese_ConvPooling_2021-11-23_09-57-39
